position,layer,method,n,positive_n,delta_margin_auc,delta_margin_auc_ci_low,delta_margin_auc_ci_high
last_evidence,20,logit_lens,29,8,0.39285714285714285,0.18840109166196123,0.6176470588235294
last_evidence,21,j_lens,29,8,0.6369047619047619,0.41299516908212563,0.8376623376623377
last_evidence,21,logit_lens,29,8,0.5535714285714286,0.3413269927536232,0.7611111111111111
last_evidence,22,j_lens,29,8,0.6488095238095238,0.3916576086956522,0.8766233766233766
last_evidence,22,logit_lens,29,8,0.5833333333333334,0.34410457963089547,0.8083333333333333
last_evidence,23,j_lens,29,8,0.6607142857142857,0.4299823232323232,0.8695793337097683
last_evidence,23,logit_lens,29,8,0.5,0.26666666666666666,0.74
last_evidence,24,j_lens,29,8,0.6607142857142857,0.42857142857142855,0.8690476190476191
last_evidence,24,logit_lens,29,8,0.5,0.26666666666666666,0.7222222222222222
last_evidence,25,j_lens,29,8,0.5535714285714286,0.3311396103896104,0.7778044871794868
last_evidence,25,logit_lens,29,8,0.5416666666666666,0.2921807359307359,0.7857142857142857
last_evidence,26,j_lens,29,8,0.5535714285714286,0.3136948529411765,0.7789473684210526
last_evidence,26,logit_lens,29,8,0.5714285714285714,0.3116883116883117,0.8182147562582347
last_evidence,27,j_lens,29,8,0.6398809523809523,0.40217391304347827,0.8506628787878786
last_evidence,27,logit_lens,29,8,0.6398809523809523,0.4090909090909091,0.8539096320346321
