condition,position,layer,method,n,positive_n,margin_auc,margin_auc_ci_low,margin_auc_ci_high,unknown_mrr_auc
C1,P_q,5,j_lens,31,10,0.5547619047619048,0.318122009569378,0.8166983695652174,0.5333333333333333
C1,P_q,5,logit_lens,31,10,0.4738095238095238,0.22279114906832298,0.6930491990846682,0.5428571428571428
C1,P_q,6,j_lens,31,10,0.5857142857142857,0.34866028708133967,0.8315217391304348,0.5714285714285714
C1,P_q,6,logit_lens,31,10,0.5190476190476191,0.2586885011441648,0.780070707070707,0.44761904761904764
C1,P_q,7,j_lens,31,10,0.44285714285714284,0.21195652173913043,0.6689180491990846,0.4714285714285714
C1,P_q,7,logit_lens,31,10,0.44285714285714284,0.2227263177998472,0.6818779904306219,0.4666666666666667
C1,P_q,8,j_lens,31,10,0.5119047619047619,0.27265251196172247,0.7351190476190477,0.46190476190476193
C1,P_q,8,logit_lens,31,10,0.5285714285714286,0.25,0.7666666666666667,0.5761904761904761
C1,P_q,9,j_lens,31,10,0.3952380952380952,0.18666008771929826,0.6143831168831169,0.3619047619047619
C1,P_q,9,logit_lens,31,10,0.49047619047619045,0.26619435817805387,0.7181894576012222,0.42857142857142855
C1,P_q,10,j_lens,31,10,0.3904761904761905,0.17851190476190476,0.6400087719298245,0.38571428571428573
C1,P_q,10,logit_lens,31,10,0.6,0.37027777777777776,0.8261014492753623,0.6523809523809524
C1,P_q,11,j_lens,31,10,0.4523809523809524,0.2331666666666667,0.6819393939393937,0.4857142857142857
C1,P_q,11,logit_lens,31,10,0.6,0.35319003158677076,0.8182034632034633,0.6904761904761905
C1,P_q,12,j_lens,31,10,0.49523809523809526,0.266578947368421,0.7171717171717171,0.5952380952380952
C1,P_q,12,logit_lens,31,10,0.6547619047619048,0.40333165875045673,0.8939393939393939,0.6666666666666666
C1,P_q,13,j_lens,31,10,0.5285714285714286,0.30767543859649127,0.7608954451345756,0.5333333333333333
C1,P_q,13,logit_lens,31,10,0.5476190476190477,0.3208288043478261,0.804171195652174,0.6095238095238096
C1,P_q,14,j_lens,31,10,0.4714285714285714,0.24454352393131165,0.6954545454545454,0.47619047619047616
C1,P_q,14,logit_lens,31,10,0.46904761904761905,0.23072066822066822,0.6944841269841269,0.5333333333333333
C1,P_q,15,j_lens,31,10,0.4119047619047619,0.17391045548654244,0.679828947368421,0.47619047619047616
C1,P_q,15,logit_lens,31,10,0.38095238095238093,0.17852633477633478,0.6091017316017316,0.4095238095238095
C1,P_q,16,j_lens,31,10,0.5738095238095238,0.31313131313131315,0.8384160902503293,0.5
C1,P_q,16,logit_lens,31,10,0.4785714285714286,0.23983333333333334,0.7038043478260869,0.5047619047619047
C1,P_q,17,j_lens,31,10,0.5833333333333334,0.31185897435897436,0.8434343434343434,0.5285714285714286
C1,P_q,17,logit_lens,31,10,0.580952380952381,0.3570238095238095,0.8026744851258582,0.6857142857142857
C1,P_q,18,j_lens,31,10,0.580952380952381,0.3226634768740032,0.8333333333333334,0.5190476190476191
C1,P_q,18,logit_lens,31,10,0.5571428571428572,0.3232284382284383,0.7829004329004329,0.5952380952380952
